idx_no,crop_name_en,crop_name_hi,crop_name_mr,disease_name_en,disease_name_hi,disease_name_mr,disease_type,severity_level,cause,question_en,question_hi,question_mr,remedy_en,remedy_hi,remedy_mr,season,affected_plant_part,indian_state(major)
1686,cotton,कपास,कपाशी,Root Rot,जड़ सड़न,मूळ कूज,Fungal,Low,Rhizoctonia solani,Damping-off symptoms are causing a severe seedling stand loss.,भीगने-बंद होने के लक्षणों के कारण अंकुरों की गंभीर हानि हो रही है।,ओलसरपणाच्या लक्षणांमुळे रोपांच्या स्टँडचे गंभीर नुकसान होत आहे.,Apply biocontrol Bacillus subtilis as seed coating agent,बीज कोटिंग एजेंट के रूप में बायोकंट्रोल बैसिलस सबटिलिस लागू करें,बियाणे कोटिंग एजंट म्हणून बायोकंट्रोल बॅसिलस सबटिलिस वापरा,Monsoon,Roots,Uttar Pradesh
1687,rice,चावल ,तांदूळ ,Bacterial Leaf Streak,जीवाणु पत्ती धारी रोग ,जिवाणूजन्य पानावरील रेषा ,Bacterial,Moderate,Xanthomonas oryzae pv. oryzicola,The internal tissues of my tubers show a grainy black pattern.,मेरे कंदों के आंतरिक ऊतकों पर दानेदार काला पैटर्न दिखाई देता है।,माझ्या कंदांच्या अंतर्गत उती दाणेदार काळा नमुना दर्शवितात.,Spray Agrimycin 100 and use disease-resistant varieties,एग्रीमाइसिन 100 का छिड़काव करें तथा रोग प्रतिरोधी किस्मों का प्रयोग करें,ऍग्रीमायसिन 100 फवारणी करा आणि रोग-प्रतिरोधक वाण वापरा,Kharif,Leaves,Andhra Pradesh
1688,Tomato,टमाटर,टोमॅटो ,Powdery Mildew,चूर्णिल आसिता,भुरी रोग ,Fungal,Mild,Leveillula taurica,New growth is showing white powder immediately on emerging leaves.,नई वृद्धि उभरती हुई पत्तियों पर तुरंत सफेद पाउडर दिखा रही है।,नवीन वाढ उगवणाऱ्या पानांवर लगेच पांढरी पावडर दाखवते.,Use myclobutanil 10% WP at 0.5 g per litre water,माइक्लोबूटानिल 10% WP 0.5 ग्राम प्रति लीटर पानी में प्रयोग करें,मायक्लोब्युटॅनिल 10% डब्ल्यूपी 0.5 ग्रॅम प्रति लिटर पाण्यात वापरा,Rabi,Stem,Maharashtra
1689,maize,मक्का,मक्का,Common Rust,सामान्य गेरूआ,तांबेरा,Fungal,Low,Puccinia sorghi,Heavy infection has given my leaves a rusty orange appearance.,भारी संक्रमण ने मेरी पत्तियों को जंग लगी नारंगी रंग का रूप दे दिया है।,जड संसर्गामुळे माझ्या पानांना गंजलेला केशरी दिसू लागला आहे.,Remove heavily infected leaves and burn them safely,Remove heavily infected leaves and burn them safely,जास्त संक्रमित पाने काढून टाका आणि सुरक्षितपणे जाळून टाका,Kharif,Leaf Sheath,Chhattisgarh
1690,onion,प्याज ,कांदा ,Stemphylium Blight,स्टेमफिलियम ब्लाइट ,स्टेमफिलियम करपा,Fungal,Low,Stemphylium vesicarium,The infected leaves are drying from the tip downward and collapsing quickly.,संक्रमित पत्तियाँ सिरे से नीचे की ओर सूख रही हैं और तेजी से गिर रही हैं।,संक्रमित पाने टोकापासून खालच्या दिशेने सुकतात आणि लवकर कोसळतात.,Use Chlorothalonil 75 WP at 2 gram per liter spray dose,क्लोरोथालोनिल 75 डब्लूपी 2 ग्राम प्रति लीटर स्प्रे खुराक का प्रयोग करें,क्लोरोथॅलोनिल 75 डब्ल्यूपी 2 ग्रॅम प्रति लिटर फवारणीच्या प्रमाणात वापरा,Post-Monsoon,Leaves,Tamil Nadu
1691,potato,आलू ,बटाटा ,Powdery Scab,पाउडरी स्कैब,पावडरी खरूज ,Fungal,Severe,Spongospora subterranea,I noticed faint chlorotic lesions on the firm and unaffected area.,मैंने ठोस और अप्रभावित क्षेत्र पर हल्के क्लोरोटिक घाव देखे।,मला टणक आणि अप्रभावित भागावर अशक्त क्लोरोटिक घाव दिसले.,Use resistant variety Kufri Bahar for affected soil areas,प्रभावित मिट्टी वाले क्षेत्रों के लिए प्रतिरोधी किस्म कुफ़री बहार का उपयोग करें,प्रभावित मातीच्या क्षेत्रासाठी कुफरी बहार प्रतिरोधक जाती वापरा,Winter,Tubers,Assam
1692,groundnut,मूंगफली ,मूंगफली ,Stem Rot,तना सड़न,खोड कूज ,Fungal,Mild,Sclerotium rolfsii,The infected plant yellows and falls over due to stem rot.,तना सड़न के कारण संक्रमित पौधा पीला होकर गिर जाता है।,देठ कुजल्यामुळे संक्रमित वनस्पती पिवळी पडते आणि पडते.,Use Pseudomonas fluorescens biocontrol as seed treatment,बीज उपचार के रूप में स्यूडोमोनास फ्लोरेसेंस बायोकंट्रोल का उपयोग करें,बीजप्रक्रिया म्हणून स्यूडोमोनास फ्लोरोसेन्स बायोकंट्रोल वापरा,Summer,Collar,Tamil Nadu
1693,rice,चावल ,तांदूळ ,Bacterial Leaf Streak,जीवाणु पत्ती धारी रोग ,जिवाणूजन्य पानावरील रेषा ,Bacterial,Mild,Xanthomonas oryzae pv. oryzicola,Light yellow translucent streaks are visible on the young leaves.,नई पत्तियों पर हल्की पीली पारभासी धारियाँ दिखाई देती हैं।,कोवळ्या पानांवर हलक्या पिवळ्या अर्धपारदर्शक रेषा दिसतात.,Spray Bordeaux mixture and use disease-free certified seed,बोर्डो मिश्रण का छिड़काव करें तथा रोग रहित प्रमाणित बीज का प्रयोग करें,बोर्डो मिश्रणाची फवारणी करा आणि रोगमुक्त प्रमाणित बियाणे वापरा,Kharif,Young Leaves,Kerala
1694,onion,प्याज ,कांदा ,Stemphylium Blight,स्टेमफिलियम ब्लाइट ,स्टेमफिलियम करपा,Fungal,Mild,Stemphylium vesicarium,The button fruit turns brown and drops in these severe infection cases.,इन गंभीर संक्रमण के मामलों में बटन फल भूरे रंग का हो जाता है और गिर जाता है।,या गंभीर संसर्ग प्रकरणांमध्ये बटण फळ तपकिरी होते आणि थेंब होते.,Remove and destroy infected leaves from the field early,संक्रमित पत्तियों को खेत से जल्दी निकालकर नष्ट कर दें,प्रादुर्भाव झालेली पाने शेतातून लवकर काढा आणि नष्ट करा,Post-Monsoon,Leaf Tip,Rajasthan
1695,Tomato,टमाटर,टोमॅटो ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Severe,Phytophthora infestans,White fuzzy mold is present on the pod walls of individual fruit.,प्रत्येक फल की फली की दीवारों पर सफेद रोयेंदार फफूंद मौजूद होती है।,वैयक्तिक फळांच्या शेंगांच्या भिंतींवर पांढरा अस्पष्ट साचा असतो.,Use dimethomorph 50% WP at 1 g per litre as spray,स्प्रे के रूप में डाइमेथोमोर्फ 50% WP का 1 ग्राम प्रति लीटर उपयोग करें,डायमेथोमॉर्फ 50% WP 1 ग्रॅम प्रति लिटर या प्रमाणात फवारणीसाठी वापरा,Rabi,Stem,Assam
1696,groundnut,मूंगफली ,मूंगफली ,Collar Rot,कॉलर रोट,कॉलर रोट ,Fungal,Low,Aspergillus niger,Seedling stand is severely reduced due to collar rot damage.,कॉलर रॉट क्षति के कारण सीडलिंग स्टैंड गंभीर रूप से कम हो गया है।,कॉलर रॉट खराब झाल्यामुळे सीडलिंग स्टँड गंभीरपणे कमी होते.,Treat seed with Captan 75 WP at 3 gram per kg of seed,बीज को कैप्टान 75 डब्लूपी 3 ग्राम प्रति किलोग्राम बीज की दर से उपचारित करें,कॅप्टन 75 डब्ल्यूपी 3 ग्रॅम प्रति किलो बियाण्यावर प्रक्रिया करा,Summer,Collar,Karnataka
1697,onion,प्याज ,कांदा ,Fusarium Basal Rot,फ्यूसेरियम बेसल रोट ,सडका कांदा,Fungal,Low,Fusarium oxysporum,The bulb base becomes soft and brown before the plant collapses.,पौधे के गिरने से पहले बल्ब का आधार नरम और भूरा हो जाता है।,वनस्पती कोलमडण्यापूर्वी बल्बचा आधार मऊ आणि तपकिरी होतो.,Treat bulbs with Carbendazim 50 WP at 2 gram per liter,बल्बों को कार्बेन्डाजिम 50 WP 2 ग्राम प्रति लीटर की दर से उपचारित करें,बल्बांवर कार्बेन्डाझिम 50 डब्ल्यूपी 2 ग्रॅम प्रति लिटर या प्रमाणात प्रक्रिया करा,Kharif,Basal Plate,Andhra Pradesh
1698,onion,प्याज ,कांदा ,Stemphylium Blight,स्टेमफिलियम ब्लाइट ,स्टेमफिलियम करपा,Fungal,Low,Stemphylium vesicarium,I see brown lesions with diffuse yellow margins visible clearly.,मुझे स्पष्ट रूप से दिखाई देने वाले पीले किनारों वाले भूरे रंग के घाव दिखाई दे रहे हैं।,मला पसरलेल्या पिवळ्या मार्जिनसह तपकिरी घाव स्पष्टपणे दिसत आहेत.,Apply Azoxystrobin 23 SC at 1 ml per liter spray water,एज़ोक्सीस्ट्रोबिन 23 एससी 1 मिली प्रति लीटर पानी में मिलाकर छिड़काव करें,ॲझोक्सीस्ट्रोबिन 23 एससी 1 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Post-Monsoon,Leaf Tip,Bihar
1699,rice,चावल ,तांदूळ ,Sheath Rot,शीथ रोट,पर्णकोश कूज,Fungal,Moderate,Sarocladium oryzae,Faint brown spots on the sheath of the seedling stage of the plant.,पौधे की अंकुरण अवस्था के आवरण पर हल्के भूरे रंग के धब्बे।,रोपाच्या रोपाच्या अवस्थेच्या आवरणावर फिकट तपकिरी डाग.,Apply Trifloxystrobin plus Tebuconazole combination spray,ट्राइफ्लॉक्सीस्ट्रोबिन प्लस टेबुकोनाज़ोल संयोजन स्प्रे लगाएं,ट्रायफ्लॉक्सिस्ट्रोबिन प्लस टेब्युकोनाझोल एकत्रित फवारणी करा,Kharif,Leaf Sheath,Maharashtra
1700,maize,मक्का,मक्का,Maize Streak Virus,मक्का स्ट्रीक वायरस,मका स्ट्रीक व्हायरस,Viral,Severe,Maize streak virus,Yellow-white streaks are alternating with green leaf tissue.,पीली-सफ़ेद धारियाँ हरी पत्ती के ऊतक के साथ बारी-बारी से होती हैं।,पिवळ्या-पांढऱ्या रेषा हिरव्या पानांच्या ऊतीसह बदलत असतात.,Use virus-resistant maize varieties like Nithyashree,नित्यश्री जैसी वायरस प्रतिरोधी मक्के की किस्मों का उपयोग करें,नित्यश्री सारख्या विषाणू प्रतिरोधक मक्याचे वाण वापरा,Rabi,Whole Plant,Tamil Nadu
1701,soyabean,सोयाबीन ,सोयाबीन ,Frogeye Leaf Spot,फ्रॉग आई लीफ स्पॉट,बेडूक डोळा ठिपके,Fungal,Severe,Cercospora sojina,Lesions are appearing on the upper and lower leaf surface equally.,घाव पत्ती की ऊपरी और निचली सतह पर समान रूप से दिखाई दे रहे हैं।,पानांच्या वरच्या आणि खालच्या पृष्ठभागावर समान रीतीने जखम दिसून येतात.,Remove and destroy infected plant residues after harvest,कटाई के बाद संक्रमित पौधों के अवशेषों को हटा दें और नष्ट कर दें,काढणीनंतर संक्रमित वनस्पतींचे अवशेष काढून टाका आणि नष्ट करा,Monsoon,Seeds,Rajasthan
1702,soyabean,सोयाबीन ,सोयाबीन ,Rhizoctonia Root Rot,राइजोक्टोनिया जड़ सड़न,रायझोक्टोनिया मूळ कूज ,Fungal,Low,Rhizoctonia solani,My plant is wilting and the leaves are collapsing due to stem base girdling.,मेरा पौधा मुरझा रहा है और तने की आधार घेराबंदी के कारण पत्तियाँ गिर रही हैं।,माझी झाडे कोमेजत आहेत आणि स्टेम बेस गर्डलिंगमुळे पाने गळून पडत आहेत.,Apply Copper oxychloride 50 WP soil drench at sowing time,बुआई के समय कॉपर ऑक्सीक्लोराइड 50 डब्लूपी मिट्टी का छिड़काव करें,पेरणीच्या वेळी कॉपर ऑक्सीक्लोराईड ५० डब्ल्यूपी माती भिजवावी,Kharif,Stem Base,Bihar
1703,potato,आलू ,बटाटा ,Powdery Scab,पाउडरी स्कैब,पावडरी खरूज ,Fungal,Severe,Spongospora subterranea,I found faint chlorotic lesions on the firm and unaffected area.,मुझे ठोस और अप्रभावित क्षेत्र पर हल्के क्लोरोटिक घाव मिले।,मला टणक आणि अप्रभावित भागावर अशक्त क्लोरोटिक घाव आढळले.,Apply Zinc EDTA chelate to soil to suppress pathogen spread,रोगज़नक़ के प्रसार को रोकने के लिए मिट्टी में जिंक ईडीटीए केलेट लगाएं,रोगजनकांचा प्रसार रोखण्यासाठी झिंक ईडीटीए चेलेट जमिनीत लावा,Rabi,Tubers,Karnataka
1704,Tomato,टमाटर,टोमॅटो ,Bacterial Wilt,जीवाणु ग्लानि,जिवाणूजन्य मर,Bacterial,Severe,Ralstonia solanacearum,Multiple plants in a row are wilting together in wet soil.,एक पंक्ति में कई पौधे गीली मिट्टी में एक साथ मुरझा रहे हैं।,ओल्या मातीत सलग अनेक झाडे एकत्र कोमेजत आहेत.,Avoid waterlogging by improving field drainage fully,खेत की जल निकासी में पूर्ण सुधार करके जलभराव से बचें,शेतातील निचरा पूर्णपणे सुधारून पाणी साचणे टाळा,Summer,Stem,Bihar
1705,maize,मक्का,मक्का,Bacterial Stalk Rot,जीवाणु तना सड़न,जिवाणूजन्य खोड कूज ,Bacterial,Severe,Erwinia chrysanthemi,The entire plant collapses within four days of infection.,संक्रमण के चार दिन के भीतर पूरा पौधा नष्ट हो जाता है।,संसर्ग झाल्यानंतर चार दिवसात संपूर्ण झाड कोलमडते.,Reduce plant density to improve field air circulation,खेत में वायु परिसंचरण में सुधार के लिए पौधों का घनत्व कम करें,शेतातील हवा परिसंचरण सुधारण्यासाठी वनस्पती घनता कमी करा,Monsoon,Crown,Bihar
1706,banana,केला,केळी,Black Sigatoka,काली झुलसा ,काळा करपा ,Fungal,Severe,Mycosphaerella fijiensis,The lesions are merging into large brown oval leaf spots.,घाव बड़े भूरे अंडाकार पत्तों के धब्बों में विलीन हो रहे हैं।,जखम मोठ्या तपकिरी अंडाकृती पानांवर विलीन होत आहेत.,Spray chlorothalonil 75% WP at 2 g per litre water,क्लोरोथालोनिल 75% डब्लूपी 2 ग्राम प्रति लीटर पानी में मिलाकर छिड़काव करें,क्लोरोथॅलोनिल ७५% डब्ल्यूपी २ ग्रॅम प्रति लिटर पाण्यात फवारावे,Kharif,Lower Leaf,Karnataka
1707,onion,प्याज ,कांदा ,Stemphylium Blight,स्टेमफिलियम ब्लाइट ,स्टेमफिलियम करपा,Fungal,Mild,Stemphylium vesicarium,I can also see some spore development on the surface of the lesions.,मैं घावों की सतह पर कुछ बीजाणु विकास भी देख सकता हूँ।,मी जखमांच्या पृष्ठभागावर काही बीजाणूंचा विकास देखील पाहू शकतो.,Use Trifloxystrobin 25 WG at 0.5 gram per liter spray,ट्राइफ्लॉक्सीस्ट्रोबिन 25 डब्ल्यूजी का 0.5 ग्राम प्रति लीटर छिड़काव करें,ट्रायफ्लॉक्सिस्ट्रोबिन 25 डब्ल्यूजी 0.5 ग्रॅम प्रति लिटर या प्रमाणात फवारणी करावी,Post-Monsoon,Leaf Tip,Madhya Pradesh
1708,sugarcane,गन्ना,ऊस ,Ratoon Stunting Disease,रैटून स्टंटिंग,खोडव्याची खुंटलेली वाढ ,Bacterial,Mild,Leifsonia xyli,Juice content and sucrose percentage are reduced in the infected cane.,संक्रमित गन्ने में रस की मात्रा और सुक्रोज का प्रतिशत कम हो जाता है।,लागण झालेल्या उसामध्ये रसाचे प्रमाण आणि सुक्रोजची टक्केवारी कमी होते.,Use thermotherapy treatment for setts at nursery level early,नर्सरी स्तर पर शुरुआती सेटों के लिए थर्मोथेरेपी उपचार का उपयोग करें,नर्सरी स्तरावर सेटसाठी थर्मोथेरपी उपचार लवकर वापरा,Summer,Roots,Haryana
1709,sugarcane,गन्ना,ऊस ,Yellow Leaf Disease,पीली पत्ती रोग,पिवळा पानांचा रोग ,Viral,Severe,Sugarcane yellow leaf virus,My plant produces fewer and thinner stalks from the infected stool.,मेरा पौधा संक्रमित मल से कम और पतले डंठल पैदा करता है।,माझी वनस्पती संक्रमित स्टूलपासून कमी आणि पातळ देठ तयार करते.,Apply mineral oil spray to reduce aphid virus transmission,एफिड वायरस संचरण को कम करने के लिए खनिज तेल स्प्रे लगाएं,ऍफिड विषाणूचा प्रसार कमी करण्यासाठी खनिज तेलाची फवारणी करा,Monsoon,Leaf Midrib,Tamil Nadu
1710,potato,आलू ,बटाटा ,Blackleg,काली टांग रोग ,काळी कुज,Bacterial,Severe,Pectobacterium atrosepticum,The leaves roll upward and turn yellow before the plant dies.,पौधे के मरने से पहले पत्तियाँ ऊपर की ओर मुड़ जाती हैं और पीली हो जाती हैं।,झाड मरण्यापूर्वी पाने वरच्या दिशेने सरकतात आणि पिवळी पडतात.,Avoid planting in waterlogged fields with poor drainage,खराब जल निकासी वाले जलजमाव वाले खेतों में रोपण से बचें,पाण्याचा निचरा कमी असलेल्या शेतात लागवड करणे टाळा,Rabi,Stem Base,Maharashtra
1711,potato,आलू ,बटाटा ,Potato Virus Y,आलू वायरस वाई ,बटाट्यावरील 'वाय' विषाणू,Viral,Mild,Potato virus Y,Necrotic spots are scattered on the leaves and stems of the plant.,पौधे की पत्तियों और तनों पर नेक्रोटिक धब्बे बिखरे हुए हैं।,झाडाच्या पानांवर आणि देठांवर नेक्रोटिक स्पॉट्स विखुरलेले असतात.,Apply Thiamethoxam 25 WG at 0.2 gram per liter spray,थियामेथोक्साम 25 डब्लूजी 0.2 ग्राम प्रति लीटर छिड़काव करें,थायामेथोक्सम २५ डब्ल्यूजी ०.२ ग्रॅम प्रति लिटर या प्रमाणात फवारणी करावी,Kharif,Growing Tips,Punjab
1712,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Low,Alternaria porri,White sunken lesions that turn purple-brown on the leaf blades.,पत्ती के ब्लेड पर सफेद धंसे हुए घाव जो बैंगनी-भूरे रंग में बदल जाते हैं।,पांढरे बुडलेले घाव जे पानांच्या ब्लेडवर जांभळ्या-तपकिरी होतात.,Remove infected leaves and burn to reduce spore load,बीजाणु भार को कम करने के लिए संक्रमित पत्तियों को हटा दें और जला दें,बीजाणूंचा भार कमी करण्यासाठी संक्रमित पाने काढून टाका आणि जाळून टाका,Rabi,Neck,Odisha
1713,onion,प्याज ,कांदा ,Fusarium Basal Rot,फ्यूसेरियम बेसल रोट ,सडका कांदा,Fungal,Low,Fusarium oxysporum,The root system is sparse and brown with decayed root tips.,जड़ प्रणाली विरल और भूरे रंग की होती है और जड़ के सिरे सड़ चुके होते हैं।,मूळ प्रणाली विरळ आणि कुजलेल्या मुळांच्या टिपांसह तपकिरी आहे.,Avoid wounding bulbs during weeding or intercultural work,निराई-गुड़ाई या अंतर-कृषि कार्य के दौरान बल्बों को नुकसान पहुँचाने से बचें,खुरपणी किंवा आंतरमशागतीच्या कामात बल्ब घायाळ करणे टाळा,Summer,Leaves,Rajasthan
1714,potato,आलू ,बटाटा ,Brown Rot,भूरा विगलन ,तपकिरी कुज ,Bacterial,Mild,Ralstonia solanacearum,The vascular ring of the tuber is turning brown with bacterial slime.,कंद का संवहनी वलय जीवाणु कीचड़ से भूरा हो रहा है।,कंदाची संवहनी रिंग बॅक्टेरियाच्या चिखलाने तपकिरी होत आहे.,Use resistant variety Kufri Swarna for brown rot areas,भूरा सड़न वाले क्षेत्रों के लिए प्रतिरोधी किस्म कुफरी स्वर्णा का प्रयोग करें,तपकिरी कुजलेल्या भागासाठी कुफरी स्वर्णाचा प्रतिरोधक वाण वापरा,Rabi,Vascular System,Jammu and Kashmir
1715,rice,चावल ,तांदूळ ,Rice Blast,धान का झोंका रोग,करपा ,Fungal,Moderate,Magnaporthe oryzae,"My root tissues are turning brown, killing the large leaf area.","मेरी जड़ के ऊतक भूरे हो रहे हैं, जिससे पत्ती का बड़ा क्षेत्र नष्ट हो रहा है।","माझ्या मुळांच्या ऊती तपकिरी होत आहेत, पानांचा मोठा भाग नष्ट होत आहे.",Apply Cyproconazole 10% SP at 0.5g per liter water,साइप्रोकोनाज़ोल 10% एसपी 0.5 ग्राम प्रति लीटर पानी में डालें,सायप्रोकोनाझोल 10% SP 0.5 ग्रॅम प्रति लिटर पाण्यात मिसळा,Kharif,Leaves,Kerala
1716,Wheat,गेहूँ,गेहूँ,Powdery Mildew,चूर्णी फफूंद ,भुरी रोग ,Fungal,Mild,Blumeria graminis,White powdery growth appears on the upper leaf surface.,पत्ती की ऊपरी सतह पर सफेद चूर्ण जैसा विकास दिखाई देता है।,पानांच्या वरच्या पृष्ठभागावर पांढऱ्या पावडरीची वाढ दिसून येते.,Use Myclobutanil 10 WP for early mildew management,प्रारंभिक फफूंदी प्रबंधन के लिए मायक्लोबुटानिल 10 WP का उपयोग करें,लवकर बुरशी व्यवस्थापनासाठी मायक्लोब्युटॅनिल 10 डब्ल्यूपी वापरा,Winter,Leaf Sheath,Haryana
1717,potato,आलू ,बटाटा ,Late Blight,पछेती झुलसा,उशिरा येणारा करपा,Fungal,Severe,Phytophthora infestans,White sporulation is visible at the lesion boundary edge.,घाव की सीमा के किनारे पर सफेद स्पोरुलेशन दिखाई देता है।,जखमेच्या सीमेच्या काठावर पांढरे स्पोर्युलेशन दृश्यमान आहे.,Apply Chlorothalonil 75 WP at 2 gram per liter spray,क्लोरोथालोनिल 75 डब्लूपी 2 ग्राम प्रति लीटर की दर से छिड़काव करें,क्लोरोथॅलोनिल 75 डब्ल्यूपी 2 ग्रॅम प्रति लिटर या प्रमाणात फवारणी करावी,Winter,Leaves,West Bengal
1718,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Severe,Alternaria porri,"Multiple lesions are coalescing, causing large blighted leaf areas.","अनेक घाव एक साथ मिल रहे हैं, जिससे पत्ती के बड़े हिस्से झुलस गए हैं।","अनेक घाव एकत्र होतात, ज्यामुळे पानांचे मोठे भाग खराब होतात.",Use Azoxystrobin 23 SC at 1 ml per liter spray water,एज़ोक्सीस्ट्रोबिन 23 एससी 1 मिली प्रति लीटर पानी में छिड़काव करें,Azoxystrobin 23 SC 1 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Rabi,Leaves,Rajasthan
1719,onion,प्याज ,कांदा ,Purple Blotch,बैंगनी धब्बा,जांभळा करपा ,Fungal,Mild,Alternaria porri,A yellow halo is visible around the purple lesion on the green leaf.,हरी पत्ती पर बैंगनी घाव के चारों ओर एक पीला प्रभामंडल दिखाई देता है।,हिरव्या पानावर जांभळ्या जखमाभोवती पिवळा प्रभामंडल दिसतो.,Use Azoxystrobin 23 SC at 1 ml per liter spray water,एज़ोक्सीस्ट्रोबिन 23 एससी 1 मिली प्रति लीटर पानी में छिड़काव करें,Azoxystrobin 23 SC 1 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Winter,Leaf Tip,Tamil Nadu
1720,rice,चावल ,तांदूळ ,Rice Blast,धान का झोंका रोग,करपा ,Fungal,Moderate,Magnaporthe oryzae,Dark bordered oval spots on the leaves are turning grayish white.,पत्तियों पर गहरे किनारे वाले अंडाकार धब्बे भूरे सफेद रंग में बदल रहे हैं।,पानांवर गडद किनारी अंडाकृती ठिपके राखाडी पांढरे होत आहेत.,Spray Kresoxim-methyl 44.3% SC at 1ml per liter,क्रेसोक्सिम-मिथाइल 44.3% एससी 1 मिलीलीटर प्रति लीटर का छिड़काव करें,क्रेसॉक्सिम-मिथाइल 44.3% SC 1 मिली प्रति लिटर या प्रमाणात फवारणी करावी,Kharif,Leaves,Gujarat
1721,cotton,कपास,कपाशी,Bacterial Blight,जीवाणु झुलसा ,तांब्या ,Bacterial,Mild,Xanthomonas axonopodis,Black arm disease is seen as the blackening of branches and twigs.,ब्लैक आर्म रोग को शाखाओं और टहनियों के काले पड़ने के रूप में देखा जाता है।,काळ्या हाताचा रोग म्हणजे फांद्या आणि फांद्या काळे पडणे.,Apply Streptomycin plus Copper combination as foliar spray,स्ट्रेप्टोमाइसिन प्लस कॉपर संयोजन को पर्ण स्प्रे के रूप में लागू करें,स्ट्रेप्टोमायसिन प्लस कॉपर कॉम्बिनेशन पर्णासंबंधी स्प्रे म्हणून वापरा,Kharif,Branches,Karnataka
1722,groundnut,मूंगफली ,मूंगफली ,Early Leaf Spot,अगेती पत्ती धब्बा ,लवकर येणारे ठिपके,Fungal,Low,Cercospora arachidicola,The lesions are darker on the upper surface than the lower leaf side.,घाव निचली पत्ती की तुलना में ऊपरी सतह पर अधिक गहरे होते हैं।,खालच्या पानांपेक्षा वरच्या पृष्ठभागावर जखम जास्त गडद असतात.,Apply Propiconazole 25 EC at 1 ml per liter water spray,प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर पानी में स्प्रे करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Monsoon,Petioles,Telangana
1723,potato,आलू ,बटाटा ,Early Blight,अगेती झुलसा,लवकर येणारा करपा,Fungal,Severe,Alternaria solani,Purple spots with yellowish borders are visible on the mature leaves.,परिपक्व पत्तियों पर पीले रंग की किनारियों वाले बैंगनी धब्बे दिखाई देते हैं।,परिपक्व पानांवर पिवळसर किनारी असलेले जांभळे ठिपके दिसतात.,Apply Copper oxychloride 50 WP at 3 gram per liter,कॉपर ऑक्सीक्लोराइड 50 डब्लूपी 3 ग्राम प्रति लीटर की दर से डालें,कॉपर ऑक्सिक्लोराईड 50 WP 3 ग्रॅम प्रति लिटर या प्रमाणात मिसळा,Post-Monsoon,Petioles,Assam
1724,Tomato,टमाटर,टोमॅटो ,Tomato Leaf Curl Virus,मरोड़िया ,टोमॅटोवरील पर्णगुच्छ ,Viral,Mild,Tomato leaf curl virus,The leaf margins turn purple in severely infected plants.,गंभीर रूप से संक्रमित पौधों में पत्तियों के किनारे बैंगनी हो जाते हैं।,गंभीरपणे संक्रमित झाडांमध्ये पानांचा मार्जिन जांभळा होतो.,Spray dimethoate 30% EC at 2 ml per litre water,डाइमेथोएट 30% ईसी 2 मिली प्रति लीटर पानी में मिलाकर छिड़काव करें,डायमेथोएट 30% EC 2 मिली प्रति लिटर पाण्यात मिसळून फवारणी करावी,Summer,Whole Plant,Gujarat
1725,groundnut,मूंगफली ,मूंगफली ,Late Leaf Spot,पछेती पत्ती धब्बा,उशिरा येणारे ठिपके ,Fungal,Severe,Phaeoisariopsis personata,The heavily infected leaves turn yellow and drop off quickly.,अत्यधिक संक्रमित पत्तियां पीली पड़ जाती हैं और जल्दी ही गिर जाती हैं।,जास्त प्रादुर्भाव झालेली पाने पिवळी पडतात आणि लवकर गळतात.,Use Propiconazole 25 EC at 1 ml per liter spray solution,प्रोपीकोनाज़ोल 25 ईसी 1 मिलीलीटर प्रति लीटर स्प्रे घोल का उपयोग करें,प्रोपिकोनाझोल 25 ईसी 1 मिली प्रति लिटर या प्रमाणात फवारणी करा,Kharif,Petioles,Maharashtra
1726,Wheat,गेहूँ,गेहूँ,Karnal Bunt,करनाल बंट,कर्नाल बंट,Fungal,Low,Tilletia indica,Greenish-yellow translucent dark streaks with spores are oozing out.,बीजाणुओं वाली हरी-पीली पारभासी काली धारियाँ निकल रही हैं।,बीजाणूंसह हिरव्या-पिवळ्या अर्धपारदर्शक गडद रेषा बाहेर पडत आहेत.,Apply Thiram 75 WP at 3 gram per kg seed treatment,थीरम 75 डब्लूपी 3 ग्राम प्रति किलोग्राम बीज उपचारित करें,थिरम 75 डब्ल्यूपी 3 ग्रॅम प्रति किलो बियाणे प्रक्रिया करा,Spring,Ear,Himachal Pradesh
